Date,Country,City,Specie,count,min,max,median,variance
6/5/2020,MN,Ulan Bator,humidity,264,13,76,29,4690.89
6/12/2020,MN,Ulan Bator,humidity,264,39.5,81,58,1338.39
4/9/2020,MN,Ulan Bator,humidity,264,14,62,25.5,1969.53
4/24/2020,MN,Ulan Bator,humidity,264,10,39,17,968.67
4/10/2020,MN,Ulan Bator,humidity,264,8.5,69.5,27,4826.55
5/10/2020,MN,Ulan Bator,humidity,264,27,73.5,49,3012.85
5/29/2020,MN,Ulan Bator,humidity,264,74,92.5,80,324.94
6/6/2020,MN,Ulan Bator,humidity,264,11.5,44.5,25.5,979.43
6/25/2020,MN,Ulan Bator,humidity,264,42,93,65,2598.48
7/17/2020,MN,Ulan Bator,humidity,264,36,76,51,2427.7
1/15/2020,MN,Ulan Bator,humidity,216,56.5,76,69,405.83
3/29/2020,MN,Ulan Bator,humidity,253,10,75,43,5073.06
3/11/2020,MN,Ulan Bator,humidity,264,53,85,72,799.63
4/20/2020,MN,Ulan Bator,humidity,264,21,68.5,42,2521.53
6/23/2020,MN,Ulan Bator,humidity,264,32,81,63,2734.87
1/26/2020,MN,Ulan Bator,humidity,240,52,76,71.5,648.38
1/28/2020,MN,Ulan Bator,humidity,240,45,83,70.5,1052.4
3/1/2020,MN,Ulan Bator,humidity,264,67,88,81.6,195.12
3/12/2020,MN,Ulan Bator,humidity,264,52.5,84,71,857.58
4/16/2020,MN,Ulan Bator,humidity,264,21,92,40.5,7021.45
1/29/2020,MN,Ulan Bator,humidity,240,50.5,84,76,990.8
2/26/2020,MN,Ulan Bator,humidity,264,64.5,85,72,226.62
2/3/2020,MN,Ulan Bator,humidity,240,46,74,67,619.14
2/4/2020,MN,Ulan Bator,humidity,240,44.5,70,64,579.08
2/7/2020,MN,Ulan Bator,humidity,240,54.5,80.5,73,535.98
3/25/2020,MN,Ulan Bator,humidity,234,37,79,62.5,1954.15
5/28/2020,MN,Ulan Bator,humidity,264,39,77.5,59,1814.09
6/22/2020,MN,Ulan Bator,humidity,264,38.5,90,53.5,3980.18
1/16/2020,MN,Ulan Bator,humidity,216,50,75,71.5,474.59
1/17/2020,MN,Ulan Bator,humidity,216,55,79,72,344.44
