date, pm25, pm10, o3, no2, so2, co
12/2/15,164,124,36,31,16,17
12/3/15,159,124,50,34,19,22
12/4/15,159,74,47,28,24,16
12/5/15,124,83,21,32,22,16
12/6/15,158,74,23,33,19,17
12/7/15,167,91,30,35,23,20
12/8/15,169,92,14,36,21,19
12/9/15,174,82,32,30,19,16
12/10/15,168,116,41,28,15,17
12/11/15,229,156,52,26,18,21
12/12/15,326,179,21,30,18,32
12/13/15,351,82,36,24,13,15
12/14/15,192,102,48,31,16,17
12/15/15,196,67,51,27,15,13
12/16/15,152,60,52,20,12,12
12/17/15,112,89,55,34,19,18
12/18/15,149,104,49,38,24,20
12/19/15,177,144,43,43,37,24
12/20/15,203,77,46,33,20,18
12/21/15,189,68,34,25,19,14
12/22/15,174,79,43,23,14,18
12/23/15,192,110,49,25,13,18
12/24/15,244,144,33,30,13,16
12/25/15,243,237,46,49,34,26
12/26/15,388,144,29,58,28,19
12/27/15,227,132,12,42,13,21
12/28/15,227,89,12,20,8,13
12/29/15,183,114,16,36,13,14
12/30/15,199,141,55,52,23,21
12/31/15,238,119,49,44,26,17
1/1/16,205, , , , , 
1/4/16, ,182,17,32,12,24
1/5/16,330,66,67,21,10,21
1/6/16,202,78,35,19,13,14
1/7/16,181,83,59,21,12,12
1/8/16,194,126,54,34,23,26
1/9/16,231,110,33,30,18,23
1/10/16,222,80,43,26,12,18
1/11/16,195,104,27,23,11,20
1/12/16,278,52,28,17,9,12
1/13/16,179,82,60,54,27,19
1/14/16,202,124,49,40,22,15
1/15/16,215,163,72,41,24,33
1/16/16,214,167,52,46,21,22
1/17/16,221,114,74,27,16,16
1/18/16,231,158,48,26,22,21
1/19/16,294,130,34,35,20,18
1/20/16,233,94,51,30,22,13
1/21/16,201,57,49,21,15,11
1/22/16,174,47,45,18,9,8
1/23/16,162,66,63,15,18,13
1/24/16,170,95,63,14,10,10
1/25/16,107,98,62,28,13,10
1/26/16,138,113,45,43,30,13
1/27/16,168,95,70,37,29,13
1/28/16,173,76,36,29,17,12
1/29/16,178,64,59,21,14,12
1/30/16,182,59,54,21,8,12
1/31/16,172,67,41,17,11,14
2/1/16,187,79,80,19,13,16
2/2/16,189,97,73,31,18,18
2/3/16,192,98,58,44,16,19
2/4/16,184,104,69,50,21,19
2/5/16,180,82,86,32,15,13
2/6/16,182,71,74,17,17,9
2/7/16,122,86,79,26,12,12
2/8/16,152,204,75,44,26,21
2/9/16,287,106,72,42,33,23
2/10/16,196,80,50,36,26,15
2/11/16,162,74,50,31,22,16
2/12/16,160,72,55,23,15,16
2/13/16,170,51,62,13,11,14
2/14/16,147,45,64,12,14,10
